sample_idx,canary_exact,stage4_exact,canary_prefix3,stage4_prefix3,canary_first1,stage4_first1,canary_last1,stage4_last1,canary_top1_eq,stage4_top1_eq,canary_rank,stage4_rank
406,0,0,0,0,0,1,1,1,0,0,21,21
407,0,0,0,0,0,0,1,1,0,0,21,21
408,0,0,0,0,0,1,1,1,0,0,21,21
409,0,1,0,1,0,1,1,1,0,1,21,1
410,0,0,0,0,0,0,1,1,0,0,21,21
411,0,0,0,0,0,1,1,1,0,0,21,21
412,0,0,0,0,0,0,1,1,0,0,21,21
413,0,0,0,0,0,1,1,1,0,0,21,21
414,0,0,0,0,0,0,1,1,0,0,21,21
415,0,0,0,0,0,1,1,1,0,0,21,21
416,0,0,0,0,0,0,1,1,0,0,21,21
417,0,0,0,0,0,0,1,1,0,0,21,21
418,0,1,0,1,0,1,1,1,0,0,21,2
419,0,0,0,0,0,0,1,1,0,0,21,21
420,0,0,0,0,0,1,1,1,0,0,21,21
421,0,1,0,1,0,1,1,1,0,1,21,1
422,0,0,0,0,0,1,1,1,0,0,21,21
423,0,0,0,0,0,0,1,1,0,0,21,21
424,0,0,0,0,0,1,1,1,0,0,21,21
425,0,1,0,1,0,1,1,1,0,1,21,1
426,0,1,0,1,0,1,1,1,0,0,21,2
427,0,0,0,0,0,1,1,1,0,0,21,21
428,0,1,0,1,0,1,1,1,0,0,21,10
429,0,0,0,0,0,1,1,1,0,0,21,21
